Catalogue Title (some titles appear more than once as they are separate editions),Catalogue Author,Number of Checkouts,*ISBNs not available (limitations with this particular analytic report)
Diary of a Wimpy Kid ,"Kinney, Jeff.",581 ,
,"Kinney, Jeff,",407 ,
The world's worst children,"Walliams, David,",116 ,
Demon slayer : kimetsu no yaiba.,"Got?ge, Koyoharu,",113 ,
Rowley Jefferson's awesome friendly spooky stories /,"Kinney, Jeff,",109 ,
Rowley Jefferson's awesome friendly adventure /,"Kinney, Jeff,",103 ,
Harry Potter and the philosopher's stone /,"Rowling, J. K.,",96 ,
Lessons in chemistry /,"Garmus, Bonnie,",96 ,
Tom Gates ,"Pichon, Liz,",96 ,
What the ladybird heard at the seaside /,"Donaldson, Julia,",91 ,
Tom Gates ,"Pichon, Liz.",86 ,
Harry Potter and the chamber of secrets /,"Rowling, J. K.,",85 ,
"Tomorrow, and tomorrow, and tomorrow /","Zevin, Gabrielle,",85 ,
The ugly five /,"Donaldson, Julia,",82 ,
Tom Gates (Book 20): Happy to help (eventually) /,"Pichon, Liz,",80 ,
Cat Kid Comic Club:,"Pilkey, Dav,",78 ,
Diary of a Wimpy Kid (Book 14): Wrecking Ball /,"Kinney, Jeff,",78 ,
Fing /,"Walliams, David,",74 ,
Find Teddy before bedtime : a lift-the-flap book /,"Delmege, Sarah,",71 ,
Attack on Titan.,"Isayama, Hajime,",70 ,
Gangsta granny strikes again! /,"Walliams, David,",68 ,
Megamonster /,"Walliams, David,",66 ,
Spaceboy /,"Walliams, David,",65 ,
Peppa and the coronation /,"Gerlings, Rebecca,",63 ,
Demon Copperhead /,"Kingsolver, Barbara,",62 ,
Harry Potter and the prisoner of Azkaban /,"Rowling, J. K.,",61 ,
The bullet that missed /,"Osman, Richard,",61 ,
The scarecrows' wedding /,"Donaldson, Julia,",61 ,
The world's worst children -,"Walliams, David,",61 ,
Harry Potter and the half-blood prince /,"Rowling, J. K.,",60 ,
The detective dog /,"Donaldson, Julia,",55 ,
Diary of an awesome friendly kid : Rowley Jefferson's journal /,"Kinney, Jeff,",54 ,
Winnie and Wilbur: The bug safari /,"Thomas, Valérie,",54 ,
Meet the oceans /,"Hart, Caryl,",53 ,
Robodog /,"Walliams, David,",53 ,
The world's worst monsters /,"Walliams, David,",53 ,
Peppa Pig: George and the dinosaur /,"Holowaty, Lauren,",52 ,
The beast of Buckingham Palace /,"Walliams, David,",52 ,
"Butler to the world : how Britain became the servant of tycoons, tax dodgers, kleptocrats and criminals /","Bullough, Oliver,",51 ,
Hugless Douglas goes camping /,"Melling, David,",51 ,
The marriage portrait /,"O'Farrell, Maggie,",51 ,
Danny the champion of the world /,"Dahl, Roald,",50 ,
Harry Potter and the Order of the Phoenix /,"Rowling, J. K.,",50 ,
No Plan B /,"Child, Lee,",50 ,
The whale who wanted more /,"Bright, Rachel,",49 ,
Before the fall.,"Suzukaze, Ryo,",48 ,
Beware of pity /,"Zweig, Stefan,",48 ,
Bunnies in a boat /,"Ardagh, Philip,",48 ,
Heartstopper:,"Oseman, Alice,",48 ,
Knock knock superhero /,"Hart, Caryl,",48 ,
